danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,spotify_link,duration_ms,time_signature,genre,song_name
0.7190000000000001,0.493,8,-7.23,1,0.0794,0.401,0.0,0.118,0.124,115.08,7pgJBLVz5VmnL7uGHmRj6p,https://open.spotify.com/track/7pgJBLVz5VmnL7uGHmRj6p,224427,4,Dark Trap,Pathology
0.85,0.893,5,-4.783,1,0.0623,0.0138,4.14e-06,0.3720000000000001,0.0391,218.05,0vSWgAlfpye0WCGeNmuNhy,https://open.spotify.com/track/0vSWgAlfpye0WCGeNmuNhy,98821,4,Dark Trap,Symbiote
0.8640000000000001,0.365,8,-10.219,1,0.0655,0.187,0.0,0.116,0.0478,189.938,7EL7ifncK2PWFYThJjzR25,https://open.spotify.com/track/7EL7ifncK2PWFYThJjzR25,101172,4,Dark Trap,BRAINFOOD
0.767,0.5760000000000001,10,-9.683,0,0.256,0.145,2.61e-06,0.0968,0.187,139.99,1umsRbM7L4ju7rn9aU8Ju6,https://open.spotify.com/track/1umsRbM7L4ju7rn9aU8Ju6,96062,4,Dark Trap,Sacrifice
0.765,0.726,5,-5.58,1,0.191,0.0077,0.0,0.619,0.27,128.014,4SKqOHKYU5pgHr5UiVKiQN,https://open.spotify.com/track/4SKqOHKYU5pgHr5UiVKiQN,135079,4,Dark Trap,Backpack
0.812,0.813,10,-5.582999999999998,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066,3KJrwOuqiEwHq6QTreZT61,https://open.spotify.com/track/3KJrwOuqiEwHq6QTreZT61,180880,4,Dark Trap,Io sono qui
0.602,0.578,0,-5.61,1,0.0283,0.0343,0.0,0.16399999999999998,0.156,114.956,4QhUXx4ON40TIBrZIlnIke,https://open.spotify.com/track/4QhUXx4ON40TIBrZIlnIke,186261,4,Dark Trap,Murder
0.8759999999999999,0.768,7,-6.606,1,0.201,0.112,1.21e-05,0.28300000000000003,0.72,111.958,09320vyX4qHd4GjHIpy5w0,https://open.spotify.com/track/09320vyX4qHd4GjHIpy5w0,124676,5,Dark Trap,High 'N Mighty
0.69,0.76,1,-5.431,1,0.0895,0.0525,0.0,0.134,0.0797,125.013,6xEnbXM1us9fDJy2LC0lru,https://open.spotify.com/track/6xEnbXM1us9fDJy2LC0lru,154929,4,Dark Trap,Bang Ya Fucking Head
0.799,0.966,0,-4.586,1,0.366,0.08900000000000001,0.0,0.6579999999999999,0.8640000000000001,139.967,4ZOxwKHoHlhIZPzucOUVoY,https://open.spotify.com/track/4ZOxwKHoHlhIZPzucOUVoY,137221,4,Dark Trap,BLUE JUICE
